"District","State","Yearcode","Ground_water_level","ID","SDP","gini"
"harda","madhya pradesh",2014,6.65,4082014,"339247",0.32
"harda","madhya pradesh",2016,7.4775,4082016,"419465",0.32
"hardoi","uttar pradesh",2021,20.186,1502021,"948839",0.21
"hardoi","uttar pradesh",2018,10.2957142857143,1502018,"949184",0.21
"hardoi","uttar pradesh",2017,8.69,1502017,"922458",0.21
"hardoi","uttar pradesh",2019,17.26,1502019,"980106",0.21
"hardoi","uttar pradesh",2013,5.1375,1502013,"707469",0.21
"hardoi","uttar pradesh",2012,4.87666666666667,1502012,"673552",0.21
"hardoi","uttar pradesh",2011,4.1925,1502011,"645132",0.21
"hardoi","uttar pradesh",2020,17.6283333333333,1502020,"910011",0.21
"hardoi","uttar pradesh",2015,6.6875,1502015,"792049",0.21
"hardoi","uttar pradesh",2016,8.9925,1502016,"888453",0.21
"hardoi","uttar pradesh",2014,7.7175,1502014,"729686",0.21
"haridwar","uttarakhand",2016,7.64,502016,"150303",0.48
"haridwar","uttarakhand",2021,9.93,502021,"167487",0.48
"haridwar","uttarakhand",2011,6.415,502011,"101960",0.48
"haridwar","uttarakhand",2019,11.6325,502019,"166351",0.48
"haridwar","uttarakhand",2020,8.95,502020,"156792",0.48
"haridwar","uttarakhand",2012,8.20666666666667,502012,"109528",0.48
"haridwar","uttarakhand",2014,7.8025,502014,"125702",0.48
"haridwar","uttarakhand",2015,8.27,502015,"136144",0.48
"haridwar","uttarakhand",2013,7.595,502013,"117778",0.48
"haridwar","uttarakhand",2018,9.09,502018,"166519",0.48
"haridwar","uttarakhand",2017,8.3925,502017,"162205",0.48
"hassan","karnataka",2016,8.7975,5392016,"851394",0.18
"hassan","karnataka",2013,8.1,5392013,"646787",0.18
"hassan","karnataka",2020,6.31,5392020,"1026875",0.18
"hassan","karnataka",2012,7.50666666666667,5392012,"593192",0.18
"hassan","karnataka",2011,5.87,5392011,"554952",0.18
"hassan","karnataka",2018,8.7875,5392018,"974815",0.18
"hassan","karnataka",2017,9.8175,5392017,"915642",0.18
"hassan","karnataka",2021,6.39,5392021,"1127480",0.18
"hassan","karnataka",2019,9.026,5392019,"1030357",0.18
"hassan","karnataka",2015,7.1,5392015,"749952",0.18
"hassan","karnataka",2014,7.0425,5392014,"671283",0.18
"hathras","uttar pradesh",2020,25.8833333333333,1632020,"910011",0.25
"hathras","uttar pradesh",2021,67.998,1632021,"948839",0.25
"hathras","uttar pradesh",2012,10.11,1632012,"673552",0.25
